$path
         pathx       pathy     fespot
1  -0.94493759  1.51184703 -123.33346
2  -0.96187198  1.49813456 -122.98893
3  -0.94304861  1.49674889 -123.27858
4  -0.93301498  1.48090023 -122.50885
5  -0.90592486  1.47079422 -122.39141
6  -0.87996412  1.45251408 -121.66751
7  -0.85288497  1.43453867 -121.87196
8  -0.82684519  1.41719901 -122.52681
9  -0.82086111  1.39133724 -122.48420
10 -0.83315351  1.37286561 -122.11092
11 -0.82542617  1.34772852 -121.38839
12 -0.81203109  1.31934488 -120.29369
13 -0.79039758  1.29301555 -119.17352
14 -0.76757918  1.26453784 -118.19581
15 -0.74647905  1.23333196 -116.74747
16 -0.74225881  1.18841806 -115.54078
17 -0.71715355  1.14742539 -115.36907
18 -0.71301115  1.10327238 -115.46044
19 -0.69308314  1.06409469 -115.82641
20 -0.66228599  1.03380838 -115.68446
21 -0.62173938  1.01489746 -114.56568
22 -0.57994566  0.99231539 -112.73678
23 -0.53017945  0.98110085 -111.20971
24 -0.48607758  0.95412924 -110.39970
25 -0.47363869  0.90086944 -109.00265
26 -0.45922139  0.84484687 -109.02270
27 -0.47335697  0.79430720 -110.98303
28 -0.44530424  0.76935022 -110.30947
29 -0.40488535  0.74414812 -107.40028
30 -0.36197903  0.71374739 -106.29083
31 -0.36291489  0.65099564 -105.21659
32 -0.36492449  0.59080471 -106.55618
33 -0.33737411  0.54911327 -105.79239
34 -0.26885941  0.53104485 -102.62416
35 -0.20229814  0.51598562 -102.20836
36 -0.15603600  0.47690064 -103.45781
37 -0.17827557  0.41814875 -103.23689
38 -0.15076468  0.35882423 -101.04331
39 -0.09103965  0.30860113  -97.30503
40 -0.03093361  0.25662390  -97.51735
41  0.02253771  0.19807064  -96.58561
42  0.09450857  0.16293166  -96.34552
43  0.16154580  0.11781221  -96.23794
44  0.19909591  0.04288712  -93.18001
45  0.23307675 -0.03594573  -93.28663
46  0.19578680 -0.11637931  -93.85617
47  0.25797346 -0.18650185  -93.15837
48  0.34424107 -0.22880528  -91.40084
49  0.42133770 -0.28420696  -94.25770
50  0.41489963 -0.36153714  -93.55974
51  0.33663933 -0.41349522  -94.62243
52  0.29530397 -0.49397308  -95.65114
53  0.26065702 -0.57824013  -97.50110
54  0.24642981 -0.66945637 -100.19467
55  0.29908774 -0.71908378 -100.78012
56  0.38782755 -0.71598444 -100.57141
57  0.43108213 -0.77890753 -100.87057
58  0.47897452 -0.84102775 -105.01390
59  0.52386493 -0.90846319 -104.83352
60  0.56134563 -0.98333326 -105.21727
61  0.63513475 -1.00488511 -106.87908
62  0.68788867 -1.05913449 -108.32976
63  0.75464437 -1.09829586 -110.27523
64  0.82195543 -1.14013417 -115.24369
65  0.86642622 -1.19949624 -118.85147
66  0.88264483 -1.27586777 -121.72606
67  0.94443649 -1.32763824 -126.74907
68  0.97152156 -1.37980726 -128.49729
69  1.03467882 -1.38468866 -130.82899
70  1.08297658 -1.41371929 -131.84532
71  1.11967226 -1.45738184 -132.36477
72  1.12124742 -1.50779597 -134.09316
73  1.11916772 -1.55889059 -136.65784
74  1.14081545 -1.60099300 -137.70749
75  1.17820087 -1.61179123 -138.57618
76  1.19426248 -1.63186590 -139.70822
77  1.20651280 -1.64142710 -139.70822
78  1.21470927 -1.64698420 -139.54977
79  1.20229244 -1.65721234 -139.54977
80  1.20289011 -1.65369760 -139.54977
81  1.21619967 -1.65531281 -139.77136
82  1.20238480 -1.65981430 -139.54977
83  1.20144796 -1.65903873 -139.54977
84  1.21587819 -1.66145382 -139.77136
85  1.20821855 -1.65917566 -139.54977
86  1.20476991 -1.66030276 -139.54977
87  1.21001838 -1.66052702 -139.54977
88  1.20491993 -1.65543221 -139.54977
89  1.20952422 -1.65253440 -139.54977
90  1.20014498 -1.66071422 -139.54977
91  1.21489692 -1.64689420 -140.00038

