$path
        pathx      pathy    fespot
1  -0.9449376 1.51184703 -123.3335
2  -0.9525611 1.50444592 -122.9889
3  -0.9577693 1.50372757 -122.9889
4  -0.9600698 1.49994419 -122.9889
5  -0.9545595 1.49878927 -122.9889
6  -0.9391574 1.50007692 -123.2786
7  -0.9277287 1.48979795 -123.2786
8  -0.9166372 1.47306789 -122.3914
9  -0.8884177 1.47113335 -122.0387
10 -0.8721944 1.44096541 -121.6675
11 -0.8521813 1.41448313 -121.9974
12 -0.8258187 1.41116828 -122.5268
13 -0.8213422 1.39766638 -122.4842
14 -0.8242478 1.39105748 -122.4842
15 -0.8256476 1.39250625 -122.4842
16 -0.8168857 1.39238049 -122.4842
17 -0.8259611 1.39267575 -122.4842
18 -0.8311890 1.38618014 -122.4842
19 -0.8360284 1.37038031 -122.1109
20 -0.8501036 1.35551670 -122.1320
21 -0.8385729 1.32760596 -121.4223
22 -0.8325015 1.29141292 -118.9515
23 -0.8306330 1.25089961 -117.7219
24 -0.8455384 1.20761032 -116.6619
25 -0.8432772 1.15773156 -116.1104
26 -0.8327296 1.10968787 -115.9880
27 -0.8517848 1.04890798 -111.2905
28 -0.8618474 0.98149847 -109.0612
29 -0.9314843 0.93286676 -105.4933
30 -0.9864260 0.86419959 -102.1783
31 -1.0050771 0.76832249 -103.2823
32 -1.0683097 0.69848325 -104.5446
33 -1.0947110 0.60771162 -105.6176
34 -1.0416622 0.54370187 -105.9218
35 -0.9681489 0.50638306 -105.2026
36 -0.9524084 0.43325219 -105.0279
37 -0.9729830 0.36622808 -107.7606
38 -1.0165765 0.36337404 -107.8484
39 -1.0519007 0.33454358 -107.3385
40 -1.0911387 0.31057532 -108.5645
41 -1.1254936 0.28211108 -109.8271
42 -1.1517661 0.24780520 -111.1127
43 -1.1643063 0.20815691 -110.9709
44 -1.1438811 0.18014734 -111.3393
45 -1.1246915 0.15303256 -111.6451
46 -1.1042748 0.12555140 -111.7424
47 -1.0742179 0.11784805 -111.6565
48 -1.0474831 0.09821704 -111.4247
49 -1.0123165 0.09102290 -111.9108
50 -1.0066264 0.07181703 -111.9842
51 -0.9989334 0.05396647 -112.7108
2  -0.99293568 -0.005061159 -112.03073
3  -0.95733803 -0.052668776 -112.18876
4  -0.91828474 -0.095797268 -111.42342
5  -0.87655915 -0.137401550 -109.95681
6  -0.85935918 -0.196221163 -111.20130
7  -0.81809750 -0.206455437 -110.79301
8  -0.77325819 -0.218856828 -107.47602
9  -0.73426188 -0.255145596 -105.99522
10 -0.68279008 -0.273141977 -106.24060
11 -0.62670884 -0.287473915 -105.76625
12 -0.58462126 -0.345868893 -103.72297
13 -0.58211700 -0.418659445 -104.18032
14 -0.52678698 -0.472930150 -101.75139
15 -0.44795074 -0.491396862 -101.37517
16 -0.36873183 -0.497777025 -101.31602
17 -0.28897621 -0.475245784  -99.35376
18 -0.20399556 -0.498394691  -96.85109
19 -0.11841277 -0.525133696  -97.56113
20 -0.06658619 -0.598066027  -99.24170
21 -0.02870884 -0.677008496  -98.45092
22  0.05582710 -0.720348867  -99.04726
23  0.15320291 -0.713649720  -99.49818
24  0.22854361 -0.760197197 -101.31120
25  0.28507521 -0.829666989 -102.07191
26  0.33517060 -0.904662125 -103.61585
27  0.41031524 -0.955475828 -104.56151
28  0.42341877 -1.035755391 -104.52765
29  0.52228141 -1.072807102 -105.81010
30  0.57710914 -1.145797644 -107.65143
31  0.65391789 -1.195119452 -111.42281
32  0.72722173 -1.253703064 -113.10079
33  0.77398755 -1.327052992 -117.91128
34  0.83394002 -1.364560808 -119.98711
35  0.89585149 -1.397982937 -126.23189
36  0.95644702 -1.392285699 -128.49729
37  1.01462816 -1.392809624 -130.15894
38  1.06552782 -1.422078968 -131.24729
39  1.11775667 -1.444512914 -132.36477
40  1.13987602 -1.497280997 -134.13285
41  1.12779444 -1.548451838 -136.65784
42  1.13189003 -1.587760291 -137.07807
43  1.16024970 -1.614618402 -137.70749
44  1.18930697 -1.628405785 -139.70822
45  1.20428105 -1.639901506 -139.70822
46  1.21043941 -1.650663884 -139.54977
47  1.20546779 -1.660830257 -139.54977
48  1.20959654 -1.659865585 -139.54977
49  1.21287361 -1.660838187 -139.54977
50  1.20532548 -1.659158429 -139.54977
51  1.21489692 -1.646894198 -140.00038

