$path
        pathx      pathy    fespot
1  -0.9449376 1.51184703 -123.3335
2  -0.9525611 1.50444592 -122.9889
3  -0.9577693 1.50372757 -122.9889
4  -0.9600698 1.49994419 -122.9889
5  -0.9545595 1.49878927 -122.9889
6  -0.9391574 1.50007692 -123.2786
7  -0.9277287 1.48979795 -123.2786
8  -0.9166372 1.47306789 -122.3914
9  -0.8884177 1.47113335 -122.0387
10 -0.8721944 1.44096541 -121.6675
11 -0.8521813 1.41448313 -121.9974
12 -0.8258187 1.41116828 -122.5268
13 -0.8213422 1.39766638 -122.4842
14 -0.8242478 1.39105748 -122.4842
15 -0.8256476 1.39250625 -122.4842
16 -0.8168857 1.39238049 -122.4842
17 -0.8259611 1.39267575 -122.4842
18 -0.8311890 1.38618014 -122.4842
19 -0.8360284 1.37038031 -122.1109
20 -0.8501036 1.35551670 -122.1320
21 -0.8385729 1.32760596 -121.4223
22 -0.8325015 1.29141292 -118.9515
23 -0.8306330 1.25089961 -117.7219
24 -0.8455384 1.20761032 -116.6619
25 -0.8432772 1.15773156 -116.1104
26 -0.8327296 1.10968787 -115.9880
27 -0.8517848 1.04890798 -111.2905
28 -0.8618474 0.98149847 -109.0612
29 -0.9314843 0.93286676 -105.4933
30 -0.9864260 0.86419959 -102.1783
31 -1.0050771 0.76832249 -103.2823
32 -1.0683097 0.69848325 -104.5446
33 -1.0947110 0.60771162 -105.6176
34 -1.0416622 0.54370187 -105.9218
35 -0.9681489 0.50638306 -105.2026
36 -0.9524084 0.43325219 -105.0279
37 -0.9729830 0.36622808 -107.7606
38 -1.0165765 0.36337404 -107.8484
39 -1.0519007 0.33454358 -107.3385
40 -1.0911387 0.31057532 -108.5645
41 -1.1254936 0.28211108 -109.8271
42 -1.1517661 0.24780520 -111.1127
43 -1.1643063 0.20815691 -110.9709
44 -1.1438811 0.18014734 -111.3393
45 -1.1246915 0.15303256 -111.6451
46 -1.1042748 0.12555140 -111.7424
47 -1.0742179 0.11784805 -111.6565
48 -1.0474831 0.09821704 -111.4247
49 -1.0123165 0.09102290 -111.9108
50 -1.0066264 0.07181703 -111.9842
51 -0.9989334 0.05396647 -112.7108

