$path
         pathx        pathy     fespot
1  -0.99893345  0.053966465 -112.71084
2  -0.99293568 -0.005061159 -112.03073
3  -0.95733803 -0.052668776 -112.18876
4  -0.91828474 -0.095797268 -111.42342
5  -0.87655915 -0.137401550 -109.95681
6  -0.85935918 -0.196221163 -111.20130
7  -0.81809750 -0.206455437 -110.79301
8  -0.77325819 -0.218856828 -107.47602
9  -0.73426188 -0.255145596 -105.99522
10 -0.68279008 -0.273141977 -106.24060
11 -0.62670884 -0.287473915 -105.76625
12 -0.58462126 -0.345868893 -103.72297
13 -0.58211700 -0.418659445 -104.18032
14 -0.52678698 -0.472930150 -101.75139
15 -0.44795074 -0.491396862 -101.37517
16 -0.36873183 -0.497777025 -101.31602
17 -0.28897621 -0.475245784  -99.35376
18 -0.20399556 -0.498394691  -96.85109
19 -0.11841277 -0.525133696  -97.56113
20 -0.06658619 -0.598066027  -99.24170
21 -0.02870884 -0.677008496  -98.45092
22  0.05582710 -0.720348867  -99.04726
23  0.15320291 -0.713649720  -99.49818
24  0.22854361 -0.760197197 -101.31120
25  0.28507521 -0.829666989 -102.07191
26  0.33517060 -0.904662125 -103.61585
27  0.41031524 -0.955475828 -104.56151
28  0.42341877 -1.035755391 -104.52765
29  0.52228141 -1.072807102 -105.81010
30  0.57710914 -1.145797644 -107.65143
31  0.65391789 -1.195119452 -111.42281
32  0.72722173 -1.253703064 -113.10079
33  0.77398755 -1.327052992 -117.91128
34  0.83394002 -1.364560808 -119.98711
35  0.89585149 -1.397982937 -126.23189
36  0.95644702 -1.392285699 -128.49729
37  1.01462816 -1.392809624 -130.15894
38  1.06552782 -1.422078968 -131.24729
39  1.11775667 -1.444512914 -132.36477
40  1.13987602 -1.497280997 -134.13285
41  1.12779444 -1.548451838 -136.65784
42  1.13189003 -1.587760291 -137.07807
43  1.16024970 -1.614618402 -137.70749
44  1.18930697 -1.628405785 -139.70822
45  1.20428105 -1.639901506 -139.70822
46  1.21043941 -1.650663884 -139.54977
47  1.20546779 -1.660830257 -139.54977
48  1.20959654 -1.659865585 -139.54977
49  1.21287361 -1.660838187 -139.54977
50  1.20532548 -1.659158429 -139.54977
51  1.21489692 -1.646894198 -140.00038

